Nome,Ruolo,Squadra,Quotazione,U21
Aboukhlal,A,Torino,9,
Acerbi,Dc,Inter,9,
Adams C.,A,Torino,14,
Addai,W;A,Como,7,U21
Adopo,M;C,Cagliari,6,
Aebischer,C,Pisa,4,
Ahanor,B;Ds;E,Atalanta,7,U21
Akinsanmiro,C;T,Pisa,3,U21
Alli,T,Como,1,
Almqvist,W;A,Parma,4,
Alvarez A.,Pc,Sassuolo,1,
Angelino,E,Roma,14,
Angori,Ds;E,Pisa,5,
Anjorin,C;T,Torino,10,
Arena,W;T,Pisa,1,
Asllani,M;C,Inter,4,
Atta,C,Udinese,6,
Audero,Por,Cremonese,5,
Azon,Pc,Como,1,
Azzi,Ds;E,Cremonese,3,
Baldanzi,T;A,Roma,8,
Balogh,Dc,Parma,3,
Banda,W;A,Lecce,5,
Barbieri,Dd;Ds;E,Cremonese,4,
Barella,C,Inter,14,
Bartesaghi,Ds;E,Milan,3,U21
Baschirotto,Dc,Cremonese,8,
Basic,C,Lazio,1,
Bastoni,Dc,Inter,16,
Baturina,T,Como,8,
Bayo V.,Pc,Udinese,4,
Belahyane,M;C,Lazio,4,U21
Bellanova,E,Atalanta,12,
Beltran L.,A,Fiorentina,7,
Benedyczak,A,Parma,1,
Berardi,A,Sassuolo,21,
Berisha M.,C;T,Lecce,3,
Bernabè,C,Parma,11,
Bernardeschi,W;A,Bologna,8,
Bernede,C,Verona,4,
Bertola,Dc,Udinese,6,
Beukema,Dc,Napoli,10,
Bianchetti,Dc,Cremonese,3,
Bianco,M;C,Fiorentina,1,
Biraghi,Ds;E,Torino,8,
Bisseck,Dc,Inter,9,
Boloca,M;C,Sassuolo,6,
Bonazzoli,A,Cremonese,1,
Bondo,M;C,Milan,3,
Bonfanti,Dc,Atalanta,2,
Bonfanti N.,Pc,Pisa,1,
Bonny,Pc,Inter,5,
Borrelli,Pc,Cagliari,4,
Bradaric,Ds;E,Verona,4,
Bravo,A,Udinese,6,U21
Bremer,Dc,Juventus,13,
Brenner,A,Udinese,3,
Brescianini,C;T,Atalanta,8,
Buffon L.,A,Pisa,1,U21
Buongiorno,Dc,Napoli,13,
Butez,Por,Como,10,
Cabal,B;Ds;E,Juventus,5,
Calabresi,B;Dd;E,Pisa,4,
Calhanoglu,M;C,Inter,24,
Camarda,Pc,Lecce,12,U21
Cambiaghi,A,Bologna,11,
Cambiaso,E,Juventus,14,
Cancellieri,W;A,Lazio,3,
Canestrelli,Dc,Pisa,3,
Caprile,Por,Cagliari,7,
Caqueret,C;T,Como,12,
Caracciolo A.,Dc,Pisa,4,
Carboni V.,T;A,Genoa,11,U21
Carlos Augusto,B;Ds;E,Inter,11,
Carnesecchi,Por,Atalanta,14,
Casadei,C;T,Torino,12,
Casale,Dc,Bologna,4,
Castagnetti,M;C,Cremonese,3,
Castellanos,Pc,Lazio,21,
Castro S.,Pc,Bologna,19,U21
Cataldi,M;C,Lazio,5,
Ceccherini,Dd;Dc,Cremonese,4,
Celik,B;Dd;E,Roma,8,
Chukwueze,W,Milan,3,
Ciocci,Por,Cagliari,1,
Circati,Dc,Parma,5,
Coco,Dc,Torino,8,
Collocolo,M;C,Cremonese,9,
Colombo,Pc,Genoa,11,
Comuzzo,Dc,Fiorentina,7,U21
Conceicao,W;A,Juventus,17,
Contini,Por,Napoli,1,
Coppola F.,Dc,Pisa,1,U21
Corvi,Por,Parma,1,
Coulibaly L.,M;C,Lecce,8,
Cristante,M;C,Roma,9,
Cuadrado,E,Pisa,6,
Cutrone,Pc,Como,10,
Da Cunha,C;W;T,Como,13,
Dallinga,Pc,Bologna,10,
Darmian,B;Dd;E,Inter,5,
David,Pc,Juventus,27,
Davis K.,Pc,Udinese,11,
De Bruyne,T,Napoli,22,
De Gea,Por,Fiorentina,14,
De Ketelaere,A,Atalanta,23,
De Luca,Pc,Cremonese,7,
De Roon,M;C,Atalanta,13,
De Silvestri,Dd;E,Bologna,4,
De Vrij,Dc,Inter,9,
De Winter,Dd;Dc,Genoa,9,
Deiola,M;C,Cagliari,5,
Dele-Bashiru,C;T,Lazio,11,
Delprato,B;Dd;E,Parma,9,
Dembelè A.,Dd;E,Torino,1,U21
Denoon,Dc,Pisa,2,U21
Di Gennaro,Por,Inter,1,
Di Gregorio,Por,Juventus,16,
Di Lorenzo,Dd;E,Napoli,14,
Di Pardo,Dd;E,Cagliari,2,
Dia,Pc,Lazio,20,
Diao,W;A,Como,18,U21
Dimarco,E,Inter,18,
Djimsiti,Dc,Atalanta,8,
Djuric,Pc,Parma,8,
Dodò,E,Fiorentina,10,
Doig,Ds;E,Sassuolo,6,
Dominguez B.,W;A,Bologna,9,
Donnarumma An.,Por,Torino,1,
Dossena,Dc,Como,4,
Douglas Luiz,C,Juventus,3,
Douvikas,Pc,Como,7,
Dovbyk,Pc,Roma,21,
Dumfries,E,Inter,19,
Dybala,A,Roma,27,
Dzeko,Pc,Fiorentina,15,
Ebosse,Ds;Dc,Verona,5,
Ederson D.S.,M;C,Atalanta,16,
Ehizibue,Dd;E,Udinese,5,
Ekhator,A,Genoa,1,U21
Ekkelenkamp,C;T,Udinese,10,
Ekuban,A,Genoa,2,
El Aynaoui,M;C,Roma,9,
El Shaarawy,W,Roma,7,
Ellertsson,C;W,Genoa,5,
Engelhardt,M;C,Como,2,
Esposito F.P.,Pc,Inter,7,U21
Esposito Se.,A,Inter,7,
Esteves T.,Dd;E,Pisa,1,
Estevez,M;C,Parma,2,
Estupinan,Ds;E,Milan,11,
Fabbian,C;T,Bologna,10,
Fadera,W,Sassuolo,5,
Fagioli,C,Fiorentina,8,
Falcone,Por,Lecce,6,
Fazzini,C;T,Fiorentina,11,
Felici,W,Cagliari,5,
Ferguson,C;T,Bologna,11,
Ferguson E.,Pc,Roma,19,U21
Floriani Mussolini,Dd;E,Cremonese,5,
Fofana Y.,M;C,Milan,12,
Folino,Dc,Cremonese,4,
Folorunsho,C;T,Cagliari,9,
Fortini,E,Fiorentina,3,U21
Frattesi,C;T,Inter,14,
Frendrup,M;C,Genoa,10,
Frese,Ds;E,Verona,3,
Freuler,M;C,Bologna,12,
Fruchtl,Por,Lecce,1,
Furlanetto,Por,Lazio,1,
Gabbia,Dc,Milan,6,
Gabrielloni,Pc,Como,1,
Gaetano,T,Cagliari,7,
Gallo,Ds;E,Lecce,5,
Gaspar K.,Dc,Lecce,8,
Gatti,Dc,Juventus,8,
Ghilardi,Dc,Roma,4,
Ghion,M;C,Sassuolo,4,
Giannetti L.,Dc,Udinese,3,
Gigot,Dc,Lazio,4,
Gila,Dc,Lazio,9,
Gilmour,M;C,Napoli,7,
Gimenez,Pc,Milan,25,
Gineitis,C,Torino,5,U21
Giovane,A,Verona,1,
Goglichidze,Dd;Dc,Udinese,4,U21
Goldaniga,Dc,Como,4,
Gollini,Por,Roma,1,
Gonzalez N.,W;A,Juventus,12,
Gosens,E,Fiorentina,17,
Grassi,M;C,Cremonese,4,
Gronbaek,W;T,Genoa,12,
Gudmundsson A.,T;A,Fiorentina,23,
Guendouzi,C,Lazio,11,
Hainaut,Dd;E,Parma,2,
Harroui,W;T,Verona,7,
Helgason,C;T,Lecce,8,
Hermoso,Dc,Roma,3,
Hernani,C,Parma,7,
Hien,Dc,Atalanta,11,
Hojholt,M;C,Pisa,1,
Holm,Dd;E,Bologna,8,
Hysaj,Dd;Ds;E,Lazio,3,
Iannoni,C,Sassuolo,1,
Idrissi R.,Ds;E,Cagliari,3,U21
Idzes,Dc,Sassuolo,7,
Ilic,C,Torino,7,
Ilic M.,Dc,Bologna,1,
Immobile,Pc,Bologna,19,
Isaksen,W;A,Lazio,14,
Ismajli,Dc,Torino,8,
Israel,Por,Torino,9,
Jack,Ds;Dc,Como,2,U21
Jashari,C,Milan,13,
Jean,Dc,Lecce,3,
Jimenez A.,Dd;Ds;E,Milan,6,U21
Joao Mario,E,Juventus,7,
Johnsen,A,Cremonese,7,
Juan Jesus,Ds;Dc,Napoli,3,
Kaba,M;C,Lecce,1,
Kabasele,Dc,Udinese,3,
Kalulu,Dd;Dc,Juventus,10,
Kamara H.,Ds;E,Udinese,7,
Karlsson,W;A,Bologna,3,
Karlstrom,M;C,Udinese,6,
Kastanos,C;T,Verona,4,
Kean,Pc,Fiorentina,33,
Keita M.,M;C,Parma,7,
Kelly L.,Ds;Dc,Juventus,8,
Kempf,Dc,Como,5,
Kilicsoy,A,Cagliari,6,U21
Kolasinac,B;Ds;E,Atalanta,7,
Konè I.,M;C,Sassuolo,7,
Konè M.,M;C,Roma,15,
Koopmeiners,C;T,Juventus,14,
Kossounou,Dd;Dc,Atalanta,9,
Kostic,E;W,Juventus,5,
Kouassi,Dd;Dc,Lecce,5,
Kristensen T.,Dd;Dc,Udinese,5,
Krstovic,Pc,Lecce,20,
Kuhn,W;A,Como,15,
Kumbulla,Dc,Roma,2,
Lang,A,Napoli,20,
Laurientè,A,Sassuolo,15,
Lazaro,Dd;E,Torino,7,
Lazzari,Dd;E,Lazio,4,
Leali,Por,Genoa,8,
Leao,A,Milan,24,
Leoni,Dc,Parma,7,U21
Leris,W,Pisa,2,
Lezzerini,Por,Fiorentina,1,
Lind,Pc,Pisa,4,
Lipani,M;C,Sassuolo,4,U21
Liteta,M;C,Cagliari,1,U21
Lobotka,M;C,Napoli,10,
Locatelli,M;C,Juventus,13,
Loftus-Cheek,C;T,Milan,8,
Lookman,A,Atalanta,30,
Lovik,Ds;E,Parma,2,
Lovric,C,Udinese,9,
Lucca,Pc,Napoli,14,
Lucumì,Dc,Bologna,8,
Luis Henrique,E;W,Inter,7,
Lukaku,Pc,Napoli,31,
Luperto,Dc,Cagliari,7,
Luvumbo,A,Cagliari,12,
Lykogiannis,Ds;E,Bologna,5,
Maignan,Por,Milan,16,
Maldini,T;A,Atalanta,8,
Maleh,M;C,Lecce,7,
Malinovskyi,C;T,Genoa,8,
Man,W;A,Parma,11,
Mancini,Dc,Roma,11,
Mandas,Por,Lazio,3,
Mandragora,M;C,Fiorentina,14,
Marcandalli,Dc,Genoa,3,
Marchwinski,T,Lecce,1,
Marì,Dc,Fiorentina,7,
Marianucci,Dc,Napoli,3,U21
Marin M.,M;C,Pisa,6,
Maripan,Dc,Torino,7,
Martin,Ds;E,Genoa,10,
Martinelli T.,Por,Fiorentina,1,U21
Martinez Jo.,Por,Inter,2,
Martinez L.,Pc,Inter,34,
Marusic,Dd;Ds;E,Lazio,9,
Masina,B;Ds;E,Torino,4,
Masini,M;C,Genoa,5,
Mateus Lusuardi,Dc,Pisa,4,U21
Mazzitelli,M;C,Cagliari,5,
Mazzocchi,Dd;Ds;E,Napoli,3,
Mbambi,Dc,Pisa,1,U21
McKennie,M;C,Juventus,11,
McTominay,C;T,Napoli,26,
Meister,Pc,Pisa,2,
Meret,Por,Napoli,16,
Messias,C;W,Genoa,8,
Milik,Pc,Juventus,1,
Milinkovic-Savic V.,Por,Napoli,4,
Mina,Dc,Cagliari,7,
Miranda J.,Ds;E,Bologna,9,
Miretti,C;T,Juventus,5,
Missori,Dd;E,Sassuolo,2,U21
Mkhitaryan,C;T,Inter,9,
Modric,C,Milan,12,
Montipò,Por,Verona,5,
Moreno Alb.,Ds;E,Como,3,
Moreo,A,Pisa,5,
Moro L.,Pc,Sassuolo,1,
Moro N.,M;C,Bologna,3,
Mosquera,Pc,Verona,6,
Muharemovic,Dc,Sassuolo,5,
Mulattieri,Pc,Sassuolo,4,
Musah,C;W,Milan,6,
Nasti,Pc,Cremonese,1,
Nava,Por,Cremonese,1,U21
Ndaba,Ds;E,Lecce,1,
Ndiaye,Dc,Parma,4,
N'Dicka,Dc,Roma,10,
Ndour,M;C,Fiorentina,2,U21
N'Dri,W;A,Lecce,5,
Neres,W;A,Napoli,13,
Ngonge,A,Torino,9,
Niasse,M;C,Verona,3,
Nicolas,Por,Pisa,1,
Njie,A,Torino,1,U21
Norton-Cuffy,Dd;E,Genoa,3,U21
Noslin,A,Lazio,7,
Nunziante,Por,Udinese,1,U21
Nzola,Pc,Pisa,12,
Obert,Ds;Dc,Cagliari,4,
Odenthal,Dc,Sassuolo,3,
Odgaard,T;A,Bologna,15,
Okafor,A,Milan,4,
Okereke,A,Cremonese,5,
Okoye,Por,Udinese,6,
Olivera,Ds;E,Napoli,10,
Ondrejka,W;A,Parma,12,
Ordonez C.,M;C,Parma,6,U21
Orsolini,W;A,Bologna,29,
Ostigard,Dc,Genoa,5,
Otoa,Dc,Genoa,2,U21
Oyegoke,B;Dd;E,Verona,2,
Padelli,Por,Udinese,1,
Pafundi,T;A,Udinese,1,U21
Paleari,Por,Torino,1,
Palestra,E,Atalanta,2,U21
Palma,Dc,Udinese,1,U21
Parisi,E,Fiorentina,4,
Pasalic,C;T,Atalanta,9,
Patric,Dd;Dc,Lazio,4,
Pavard,Dd;Dc,Inter,9,
Pavlovic,Dc,Milan,7,
Pavoletti,Pc,Cagliari,1,
Payero,C,Udinese,4,
Paz N.,T;A,Como,20,U21
Paz Y.,Dd;E,Sassuolo,1,
Pedersen,Dd;E,Torino,4,
Pedro,A,Lazio,13,
Pellegrini Lo.,C;T,Roma,11,
Pellegrini Lu.,Ds;E,Lazio,3,
Pellegrino M.,Pc,Parma,12,
Perez M.,Dd;Dc,Lecce,1,U21
Perilli,Por,Verona,1,
Perin,Por,Juventus,1,
Perrone,M;C,Como,9,
Pessina Mas.,Por,Bologna,1,U21
Pezzella Giu.,Ds;E,Cremonese,5,
Piccinini G.,E;M,Pisa,7,
Piccoli,Pc,Cagliari,17,
Pickel,M;C,Cremonese,2,
Pieragnolo,Ds;E,Sassuolo,2,
Pierini,A,Sassuolo,5,
Pierotti,W;A,Lecce,9,
Pierret,M;C,Lecce,7,
Pinamonti,Pc,Sassuolo,16,
Pinsoglio,Por,Juventus,1,
Piotrowski,C,Udinese,6,
Pisilli,C,Roma,7,U21
Pizarro,Pc,Udinese,1,U21
Pobega,M;C,Bologna,9,
Politano,W,Napoli,14,
Pongracic,Dc,Fiorentina,5,
Popa,Por,Torino,1,
Posch,Dd;Dc,Bologna,6,
Prati,M;C,Cagliari,3,
Provedel,Por,Lazio,12,
Provstgaard,Dc,Lazio,3,
Pulisic,T;A,Milan,28,
Radunovic,Por,Cagliari,1,
Rafia,C;T,Lecce,3,
Ramadani,M;C,Lecce,7,
Ramon,Dc,Como,4,U21
Ranieri L.,Ds;Dc,Fiorentina,7,
Raspadori,A,Napoli,13,
Ravaglia F.,Por,Bologna,3,
Ravanelli,Dc,Cremonese,2,
Rensch,B;Dd;E,Roma,6,
Ricci S.,M;C,Milan,11,
Richardson,M;C,Fiorentina,4,
Rinaldi,Por,Parma,1,
Rocha Livramento,Pc,Verona,2,
Rodriguez Je.,W;A,Como,5,U21
Romagna,Dc,Sassuolo,4,
Romagnoli,Dc,Lazio,8,
Rossi F.,Por,Atalanta,1,
Rouhi,Ds;E,Juventus,1,U21
Rovella,M;C,Lazio,9,
Rrahmani,Dc,Napoli,11,
Rugani,Dc,Juventus,3,
Rui Modesto,E,Udinese,2,
Rus,Dd;Dc,Pisa,2,
Russo A.,Por,Sassuolo,1,
Sabelli,Dd;Ds;E,Genoa,5,
Sabiri,T,Fiorentina,2,
Saelemaekers,E;W,Milan,14,
Salah-Eddine,E,Roma,3,
Samardzic,T,Atalanta,11,
Samooja,Por,Lecce,1,
Sanabria,Pc,Torino,6,
Sanchez,A,Udinese,7,
Santiago,C,Verona,2,U21
Sarr A.,A,Verona,8,
Satalino,Por,Sassuolo,1,
Sava,Por,Udinese,4,
Savona,B;Dd;E,Juventus,4,
Scalvini,Dc,Atalanta,8,
Scamacca,Pc,Atalanta,19,
Schuurs,Dc,Torino,3,
Scuffet,Por,Pisa,3,
Semper,Por,Pisa,3,
Serdar,C,Verona,5,
Sergi Roberto,M;C,Como,4,
Sernicola,Dd;Ds;E,Cremonese,1,
Siegrist,Por,Genoa,1,
Simeone,Pc,Torino,7,
Skjellerup,Pc,Sassuolo,1,
Skorupski,Por,Bologna,10,
Slotsager,Dc,Verona,2,U21
Smolcic I.,Dd;Dc,Como,2,
Sohm,C,Fiorentina,12,
Solet,Dc,Udinese,11,
Sommariva,Por,Genoa,1,
Sommer,Por,Inter,16,
Soulè,A,Roma,21,
Spinazzola,Ds;E,Napoli,7,
Sportiello,Por,Atalanta,1,
Stanciu,C;T,Genoa,8,
Sucic P.,C,Inter,9,
Sulemana I.,M;C,Atalanta,4,
Sulemana K.,A,Atalanta,9,
Suslov,W;T,Verona,9,
Suzuki,Por,Parma,7,
Svilar,Por,Roma,15,
Tameze,M;C,Torino,5,
Taremi,Pc,Inter,3,
Tavares N.,Ds;E,Lazio,12,
Tchatchoua,Dd;E,Verona,8,
Terracciano,Por,Milan,1,
Terracciano F.,Dd;Ds;E,Milan,2,
Tete Morente,W,Lecce,8,
Thiaw,Dc,Milan,4,
Thorsby,C;T,Genoa,5,
Thorstvedt,C;T,Sassuolo,8,
Thuram,Pc,Inter,29,
Thuram K.,M;C,Juventus,17,
Tiago Gabriel,Dc,Lecce,1,U21
Tomori,Dc,Milan,8,
Torriani,Por,Milan,1,U21
Tourè E.,Pc,Atalanta,6,
Tourè I.,E;M,Pisa,7,
Tramoni M.,W;T,Pisa,12,
Turati,Por,Sassuolo,7,
Unai Nunez,Dc,Verona,5,
Valenti,Dc,Parma,4,
Valentini N.,Dc,Verona,4,
Valeri,Ds;E,Parma,10,
Valle,Ds;E,Como,6,U21
Valoti,C;T,Cremonese,7,
Van Der Brempt,Dd;E,Como,4,
Vandeputte,W;T,Cremonese,12,
Vasquez,Ds;Dc,Genoa,10,
Vasquez D.,Por,Roma,1,
Vazquez,T;A,Cremonese,10,
Vecino,M;C,Lazio,6,
Veiga D.,Dd;E,Lecce,1,
Venturino,W,Genoa,3,U21
Veroli,Ds;Dc,Cagliari,1,
Vigorito,Por,Como,1,
Viti,Dc,Fiorentina,4,
Vitik,Dc,Bologna,8,
Vitinha O.,Pc,Genoa,11,
Vlahovic,Pc,Juventus,24,
Vlasic,T,Torino,14,
Vogliacco,Dd;Dc,Genoa,4,
Vojvoda,Dd;E,Como,6,
Volpato,W;T,Sassuolo,5,
Vural,C,Pisa,3,U21
Walukiewicz,Dd;Dc,Sassuolo,6,
Wesley,E,Roma,13,
Yildiz,A,Juventus,25,U21
Zaccagni,W;A,Lazio,25,
Zalewski,E;W,Inter,6,
Zambo Anguissa,M;C,Napoli,16,
Zanoli,Dd;E,Napoli,3,
Zapata D.,Pc,Torino,20,
Zappa,B;Dd;E,Cagliari,7,
Zappacosta,E,Atalanta,12,
Zarraga,M;C,Udinese,2,
Zelezny,Por,Roma,1,U21
Zemura,Ds;E,Udinese,3,
Zerbin,E;W,Cremonese,3,
Zielinski,C;T,Inter,4,
Zortea,E,Cagliari,15,

